Instance ID,Refractive Index,Sodium,Magnesium,Aluminum,Silicon,Potassium,Calcium,Barium,Iron,Actual Class
57,0,0,0,0,1,1,0,0,1,building_windows_float_processed
58,1,0,0,0,1,1,0,0,0,building_windows_float_processed
59,0,1,1,0,1,1,0,0,0,building_windows_float_processed
60,0,1,1,0,0,1,0,0,1,building_windows_float_processed
61,1,1,1,0,0,0,1,0,0,building_windows_float_processed
62,1,1,1,0,0,0,1,1,0,building_windows_float_processed
63,1,1,1,0,0,0,1,0,1,building_windows_float_processed
64,1,1,1,0,0,0,1,0,0,building_windows_float_processed
65,1,1,1,0,0,0,1,0,1,building_windows_float_processed
66,1,1,1,0,0,0,1,0,0,building_windows_float_processed
67,1,0,1,0,0,0,1,0,1,building_windows_float_processed
68,1,0,1,0,0,0,1,0,1,building_windows_float_processed
69,1,0,1,0,0,0,1,0,1,building_windows_float_processed
70,1,1,1,0,0,0,1,0,1,building_windows_float_processed
71,0,1,1,1,0,0,0,0,1,building_windows_non_float_processed
72,1,1,1,0,0,0,0,0,1,building_windows_non_float_processed
73,0,0,1,1,1,1,0,0,0,building_windows_non_float_processed
74,0,1,1,1,1,1,0,0,0,building_windows_non_float_processed
75,0,0,1,1,1,1,0,0,0,building_windows_non_float_processed
76,0,0,1,1,1,1,0,0,0,building_windows_non_float_processed
77,0,1,1,1,0,1,0,0,0,building_windows_non_float_processed
78,0,0,1,1,1,1,0,0,0,building_windows_non_float_processed
79,0,1,1,0,1,0,0,0,1,building_windows_non_float_processed
80,0,0,1,1,1,1,0,0,0,building_windows_non_float_processed
81,0,0,1,1,0,1,0,0,0,building_windows_non_float_processed
82,0,0,0,1,1,1,0,0,0,building_windows_non_float_processed
83,0,1,1,0,1,1,0,0,0,building_windows_non_float_processed
84,0,0,1,1,1,1,0,0,1,building_windows_non_float_processed
85,0,1,0,1,0,1,0,0,0,building_windows_non_float_processed
86,0,1,1,1,0,0,0,0,0,building_windows_non_float_processed
87,0,0,1,1,1,0,0,0,0,building_windows_non_float_processed
88,0,1,1,1,0,1,0,0,1,building_windows_non_float_processed
89,0,0,1,1,1,1,0,0,0,building_windows_non_float_processed
90,0,0,0,1,1,1,0,0,1,building_windows_non_float_processed
91,1,0,1,0,0,1,1,0,1,building_windows_non_float_processed
92,0,0,0,1,1,0,0,0,0,building_windows_non_float_processed
93,0,0,0,1,1,0,0,0,1,building_windows_non_float_processed
94,0,0,0,1,1,0,0,0,0,building_windows_non_float_processed
95,0,0,0,1,1,1,0,0,0,building_windows_non_float_processed
96,1,1,0,1,0,0,0,0,0,building_windows_non_float_processed
97,1,0,1,0,0,1,1,0,1,building_windows_non_float_processed
98,0,0,0,0,1,1,1,0,1,building_windows_non_float_processed
99,0,0,0,1,1,1,0,0,0,building_windows_non_float_processed
100,1,0,0,1,1,1,1,1,0,building_windows_non_float_processed
101,0,0,0,1,1,1,1,1,1,building_windows_non_float_processed
102,0,0,0,1,1,1,1,0,0,building_windows_non_float_processed
103,1,0,0,0,1,0,1,0,1,building_windows_non_float_processed
104,1,1,0,0,0,0,1,0,0,building_windows_non_float_processed
105,1,1,0,0,0,0,1,0,0,building_windows_non_float_processed
106,1,0,0,1,0,1,1,0,1,building_windows_non_float_processed
107,1,0,0,1,0,1,1,1,1,building_windows_non_float_processed
108,1,0,0,0,0,0,1,0,1,building_windows_non_float_processed
109,1,1,0,0,0,0,1,0,1,building_windows_non_float_processed
110,1,1,0,0,1,0,1,0,0,building_windows_non_float_processed
111,1,0,0,0,1,0,1,0,0,building_windows_non_float_processed
112,1,0,0,0,1,0,1,0,0,building_windows_non_float_processed
113,1,0,0,0,0,0,1,0,0,building_windows_non_float_processed
114,1,1,1,0,0,1,0,0,1,building_windows_non_float_processed
115,1,0,1,0,0,1,0,0,0,building_windows_non_float_processed
116,1,1,1,0,0,0,0,0,0,building_windows_non_float_processed
117,1,0,1,1,0,0,0,0,1,building_windows_non_float_processed
118,0,1,1,1,0,1,0,0,0,building_windows_non_float_processed
119,0,0,1,1,0,1,0,0,1,building_windows_non_float_processed
120,0,1,1,1,0,1,0,0,0,building_windows_non_float_processed
121,1,0,1,0,0,1,0,0,0,building_windows_non_float_processed
122,0,0,1,1,1,1,0,0,1,building_windows_non_float_processed
123,0,0,1,1,1,1,0,0,0,building_windows_non_float_processed
124,0,1,0,1,0,1,0,0,0,building_windows_non_float_processed
125,1,0,1,0,0,0,0,0,0,building_windows_non_float_processed
126,1,0,1,1,0,1,0,0,1,building_windows_non_float_processed
127,0,0,1,0,0,1,0,0,0,building_windows_non_float_processed
128,1,1,0,1,0,0,1,0,1,building_windows_non_float_processed
129,1,1,0,1,0,0,1,1,1,building_windows_non_float_processed
130,1,1,0,1,0,0,1,0,1,building_windows_non_float_processed
131,1,1,0,0,0,0,1,0,0,building_windows_non_float_processed
132,1,1,0,0,0,0,1,0,1,building_windows_non_float_processed
133,1,1,1,0,0,1,0,0,0,building_windows_non_float_processed
134,1,1,1,1,0,0,0,0,1,building_windows_non_float_processed
135,1,1,1,0,0,0,0,0,0,building_windows_non_float_processed
136,1,0,1,0,0,0,0,0,1,building_windows_non_float_processed
137,1,0,1,0,1,1,0,0,1,building_windows_non_float_processed
138,0,0,1,1,1,1,0,0,0,building_windows_non_float_processed
139,0,0,1,1,1,1,0,0,0,building_windows_non_float_processed
140,0,0,1,1,1,1,0,0,0,building_windows_non_float_processed
141,0,1,1,1,0,1,0,0,0,building_windows_non_float_processed
142,1,0,1,0,1,1,0,1,1,building_windows_non_float_processed
143,0,0,1,1,1,1,0,1,1,building_windows_non_float_processed
144,0,0,0,1,0,1,0,0,0,building_windows_non_float_processed
145,0,0,0,0,1,1,1,0,1,building_windows_non_float_processed
146,1,0,1,0,0,1,1,0,1,building_windows_non_float_processed
147,1,1,1,0,0,0,0,0,0,vehicle_windows_float_processed
148,0,1,1,0,0,1,0,0,0,vehicle_windows_float_processed
149,0,0,1,1,0,1,0,0,1,vehicle_windows_float_processed
150,0,0,1,0,1,1,0,0,0,vehicle_windows_float_processed
151,0,0,0,1,0,1,0,0,1,vehicle_windows_float_processed
152,1,1,1,0,0,0,1,0,0,vehicle_windows_float_processed
153,1,1,1,0,1,0,1,0,0,vehicle_windows_float_processed
154,0,1,0,0,0,1,0,0,0,vehicle_windows_float_processed
155,0,0,1,0,0,1,1,0,0,vehicle_windows_float_processed
156,0,0,0,0,1,0,0,0,0,vehicle_windows_float_processed
157,0,1,0,0,0,0,1,0,0,vehicle_windows_float_processed
158,1,1,1,0,0,0,1,0,0,vehicle_windows_float_processed
159,1,1,0,1,0,1,1,0,0,vehicle_windows_float_processed
160,1,1,0,1,0,1,1,0,1,vehicle_windows_float_processed
161,1,1,0,1,0,1,1,0,0,vehicle_windows_float_processed
162,1,1,1,0,0,0,1,1,1,vehicle_windows_float_processed
163,1,1,1,0,0,0,1,0,1,vehicle_windows_float_processed
164,0,1,0,1,0,1,0,1,0,containers
165,1,0,0,1,0,1,1,0,0,containers
166,1,0,0,1,1,0,1,0,0,containers
167,1,0,0,1,1,1,1,0,0,containers
168,1,0,0,1,1,0,1,0,0,containers
169,0,0,0,1,1,1,1,0,0,containers
170,1,0,0,1,1,0,1,0,0,containers
171,1,1,0,1,0,0,1,0,0,containers
172,0,0,0,1,0,1,0,0,0,containers
173,0,0,0,1,0,1,0,0,0,containers
174,1,1,0,1,0,0,1,0,0,containers
175,1,0,0,1,0,1,1,1,1,containers
176,1,0,0,1,1,0,1,0,1,containers
177,1,1,0,1,0,0,1,0,0,tableware
178,1,1,0,0,0,0,1,0,0,tableware
179,1,1,0,1,0,0,1,0,0,tableware
180,1,1,0,1,0,0,1,0,0,tableware
181,0,1,0,1,1,0,0,0,0,tableware
182,1,1,0,1,0,0,1,0,0,tableware
183,1,1,0,1,0,0,1,0,0,tableware
184,1,1,0,0,1,0,1,0,0,tableware
185,0,1,0,0,1,0,0,0,0,tableware
186,0,1,0,1,1,1,0,1,0,headlamps
187,1,1,0,1,0,1,0,1,0,headlamps
188,1,1,0,0,0,1,1,0,0,headlamps
189,1,1,0,1,0,1,1,0,0,headlamps
190,1,1,0,0,0,0,1,1,0,headlamps
191,0,1,0,1,1,0,1,1,0,headlamps
192,0,1,0,1,1,0,1,1,1,headlamps
193,0,1,0,1,1,0,1,1,1,headlamps
194,0,1,0,1,1,0,0,1,1,headlamps
195,0,1,0,1,1,0,0,1,1,headlamps
196,0,1,0,1,1,0,1,1,1,headlamps
197,0,1,0,1,1,0,1,1,1,headlamps
198,0,1,0,1,1,0,1,1,0,headlamps
199,0,1,0,1,1,0,1,1,0,headlamps
200,0,1,0,1,1,0,1,1,0,headlamps
201,0,1,0,1,1,0,0,1,0,headlamps
202,0,0,0,0,1,1,1,0,0,headlamps
203,0,1,0,1,1,0,0,1,0,headlamps
204,0,1,0,1,1,0,0,1,0,headlamps
205,0,1,0,1,1,0,1,1,0,headlamps
206,0,1,0,1,1,0,1,1,0,headlamps
207,0,1,0,1,1,0,1,1,0,headlamps
208,1,1,0,1,1,1,0,1,0,headlamps
209,0,1,0,1,1,0,1,1,0,headlamps
210,0,1,0,1,0,0,1,1,0,headlamps
211,0,1,0,1,1,0,0,1,0,headlamps
212,1,1,0,1,1,0,0,1,0,headlamps
213,0,1,0,1,1,0,0,1,0,headlamps
214,0,1,0,1,1,0,1,1,0,headlamps
